20,2
31,0
42,3
57,1
70,2
88,0
106,3
118,2
133,1
141,0
164,2
176,2
185,2
203,1
220,1
238,1
255,3
265,0
273,2
282,1
305,3
323,3
333,0
352,0
369,3
387,3
407,0
420,3
429,2
437,1
457,0
474,0
486,0
493,3
509,3
525,0
536,2
552,1
559,3
567,0
577,2
596,1
597,0
597,3
597,2
754,0
754,1
754,3
754,2
900,0
900,2
901,1
901,3
1045,0
1046,1
1046,2
1046,3
1124,0
1124,1
1124,2
1125,3
1155,0
1163,1
1172,2
1179,3
1203,3
1206,0
1220,2
1232,0
1246,2
1252,1
1261,3
1271,0
1282,2
1291,1
1311,2
1317,0
1336,2
1342,1
1362,3
1374,0
1393,2
1401,1
1410,3
1422,0
1432,2
1441,1
1454,2
1458,1
1461,2
1465,1
1474,3
1488,0
1497,2
1517,1
1523,3
1542,0
1552,2
1562,1
1570,3
1588,0
1600,0
1618,2
1638,1
1646,3
1664,0
1673,2
1689,1
1708,3
1731,3
1750,0
1759,2
1776,1
1794,1
1794,3
1813,0
1822,2
1831,1
1841,3
1852,0
1863,2
1874,1
1883,3
1892,0
1902,2
1912,0
1913,2
1920,0
1921,2
1936,3
1946,1
1963,2
1973,0
1983,3
1993,1
2001,2
2010,0
2020,3
2030,3
2039,1
2050,3
2060,0
2068,2
2086,1
2093,3
2115,3
2124,0
2134,2
2143,1
2152,3
2162,3
2170,3
2187,0
2195,3
2218,1
2232,2
2242,0
2261,2
2271,1
2279,3
2291,0
2301,2
2312,1
2322,3
2332,0
2340,2
2351,1
2358,3
2369,0
2375,2
2388,1
2388,3
2405,2
2413,0
2422,3
2443,0
2450,2
2461,1
2479,2
2487,0
2496,3
2514,1
2523,2
2532,0
2553,2
2563,1
2574,3
2590,0
2599,2
2609,1
2632,1
2657,1
2672,3
2680,0
2690,2
2711,1
2719,3
2728,0
2743,2
2753,1
2761,3
2778,0
2782,2
2784,1
2791,2
2812,3
2822,0
2832,2
2852,1
2860,3
2870,0
2888,2
2896,1
2915,3
2916,1
2934,0
2935,2
2953,3
2954,1
2971,2
2972,1
2989,3
2989,0
3016,1
3017,2
3037,3
3047,0
3056,2
3065,1
3078,3
3092,0
3112,2
3121,1
3132,3
3150,0
3159,1
3171,2
3190,0
3199,1
3209,2
3218,3
3232,3
3243,3
3283,0
3295,2
3317,1
3334,3
3341,0
3352,2
3361,1
3379,3
3395,0
3412,2
3421,1
3430,2
3449,0
3457,2
3466,1
3484,3
3495,0
3504,2
3517,1
3531,0
3544,2
3548,1
3552,2
3590,0
3615,1
3629,3
3640,0
3648,2
3658,1
3670,2
3687,2
3706,0
3717,2
3726,1
3745,3
3757,0
3767,2
3782,1
3791,3
3800,0
3813,1
3828,2
3840,3
3900,0
3901,1
3902,3
3902,2
3920,3
3930,0
3942,2
3951,1
3969,3
3978,0
3987,2
4006,1
4015,3
4025,0
4037,2
4054,1
4062,0
4081,0
4101,0
4119,2
4127,1
4137,3
4146,0
4162,2
4184,1
4203,3
4212,0
4223,2
4231,1
4240,3
4250,3
4268,0
4277,1
4295,1
4322,2
4331,1
4354,1
4374,2
4376,1
4389,2
4400,1
4413,1
4426,2
4434,1
4443,2
4466,0
4484,1
4500,3
4511,0
4522,2
4530,1
4540,3
4549,0
4565,2
4574,1
4593,1
4621,1
4632,2
4653,2
4661,0
4671,0
4690,3
4699,3
4707,3
4725,1
4734,1
4746,2
4765,0
4782,3
4803,1
4811,2
4822,0
4831,3
4841,1
4848,2
4865,0
4875,3
4893,1
4920,1
4929,2
4951,2
4959,0
4968,3
4987,1
4996,2
5005,0
5025,0
5034,2
5043,1
5061,3
5080,0
