122,0
134,2
147,1
161,3
174,0
188,2
199,1
214,3
226,0
239,2
251,1
263,3
274,0
286,2
296,1
312,3
325,0
339,2
351,1
362,3
375,0
389,2
403,1
417,3
430,0
443,2
457,1
469,3
483,0
496,3
514,0
514,3
612,1
612,2
714,0
714,3
739,1
739,2
764,0
765,3
790,1
790,2
803,0
803,3
816,0
816,1
817,2
817,3
907,3
920,2
931,0
945,1
956,2
967,3
983,0
997,1
1008,2
1020,3
1032,0
1046,2
1057,1
1070,3
1085,0
1098,2
1107,1
1121,2
1121,1
1144,3
1144,0
1162,3
1162,1
1179,0
1179,2
1193,1
1193,3
1214,0
1215,2
1230,1
1230,3
1246,0
1247,2
1264,3
1264,1
1281,0
1282,2
1302,2
1319,2
